"Company","Ticker","NameOfStock"
"Adidas","ADS.DE","Adidas,ADS.DE"
"Airbus","AIR.DE","Airbus,AIR.DE"
"Allianz","ALV.DE","Allianz,ALV.DE"
"BASF","BAS.DE","BASF,BAS.DE"
"Bayer","BAYN.DE","Bayer,BAYN.DE"
"Beiersdorf","BEI.DE","Beiersdorf,BEI.DE"
"BMW","BMW.DE","BMW,BMW.DE"
"Brenntag","BNR.DE","Brenntag,BNR.DE"
"Continental","CON.DE","Continental,CON.DE"
"Covestro","1COV.DE","Covestro,1COV.DE"
"Daimler Truck","DTG.DE","Daimler Truck,DTG.DE"
"Deutsche Bank","DBK.DE","Deutsche Bank,DBK.DE"
"Deutsche Börse","DB1.DE","Deutsche Börse,DB1.DE"
"Deutsche Post","DPW.DE","Deutsche Post,DPW.DE"
"Deutsche Telekom","DTE.DE","Deutsche Telekom,DTE.DE"
"E.ON","EOAN.DE","E.ON,EOAN.DE"
"Fresenius","FRE.DE","Fresenius,FRE.DE"
"Fresenius Medical Care","FME.DE","Fresenius Medical Care,FME.DE"
"Hannover Re","HNR1.DE","Hannover Re,HNR1.DE"
"HeidelbergCement","HEI.DE","HeidelbergCement,HEI.DE"
"Henkel","HEN3.DE","Henkel,HEN3.DE"
"Infineon Technologies","IFX.DE","Infineon Technologies,IFX.DE"
"Linde","LIN.DE","Linde,LIN.DE"
"Mercedes-Benz Group","MBG.DE","Mercedes-Benz Group,MBG.DE"
"Merck","MRK.DE","Merck,MRK.DE"
"MTU Aero Engines","MTX.DE","MTU Aero Engines,MTX.DE"
"Munich Re","MUV2.DE","Munich Re,MUV2.DE"
"Porsche","PAH3.DE","Porsche,PAH3.DE"
"Puma","PUM.DE","Puma,PUM.DE"
"Qiagen","QIA.DE","Qiagen,QIA.DE"
"RWE","RWE.DE","RWE,RWE.DE"
"SAP","SAP.DE","SAP,SAP.DE"
"Sartorius","SRT3.DE","Sartorius,SRT3.DE"
"Siemens","SIE.DE","Siemens,SIE.DE"
"Siemens Energy","ENR.DE","Siemens Energy,ENR.DE"
"Siemens Healthineers","SHL.DE","Siemens Healthineers,SHL.DE"
"Symrise","SY1.DE","Symrise,SY1.DE"
"Volkswagen Group","VOW3.DE","Volkswagen Group,VOW3.DE"
"Vonovia","VNA.DE","Vonovia,VNA.DE"
"Zalando","ZAL.DE","Zalando,ZAL.DE"
